genus	domain	n_species	core_genes	bins_65	min_aai	mean_aai	pairs_ge95	gtdb_genera	genomes_in_gtdb	genomes_not_in_gtdb	ari_vs_gtdb	outcome	wall_seconds
Agromyces	Bacteria	49	593	1	67.43	75.70	0	1	48	1	nan	both coherent	131
Albidovulum	Bacteria	9	1359	1	71.32	75.50	0	1	9	0	nan	both coherent	9
Alcaligenes	Bacteria	8	1501	1	70.83	88.37	7	1	7	1	nan	both coherent	9
Alcanivorax	Bacteria	9	866	1	65.29	72.94	0	3	9	0	0.0	RaGCAn one bin, GTDB splits	7
Algibacter	Bacteria	11	1308	1	74.21	78.88	0	5	11	0	0.0	RaGCAn one bin, GTDB splits	9
Algoriphagus	Bacteria	44	1164	1	68.53	73.96	2	1	44	0	nan	both coherent	90
Aliarcobacter	Bacteria	9	992	1	72.87	77.94	0	1	9	0	nan	both coherent	6
Alicyclobacillus	Bacteria	18	358	5	58.21	64.40	1	4	18	0	0.5204	both split	29
Aliidiomarina	Bacteria	13	711	2	64.22	69.42	1	1	13	0	0.0	RaGCAn split, GTDB one genus	46
Aliikangiella	Bacteria	5	1200	1	66.93	68.12	0	1	3	2	nan	both coherent	6
