genus	domain	n_species	core_genes	bins_65	min_aai	mean_aai	pairs_ge95	gtdb_genera	genomes_in_gtdb	genomes_not_in_gtdb	ari_vs_gtdb	outcome	wall_seconds
Alteromonas	Bacteria	28	838	2	64.52	73.48	2	2	27	1	1.0	both split	35
Nesterenkonia	Bacteria	28	190	2	60.27	71.45	2	1	26	2	0.0	RaGCAn split, GTDB one genus	24
Peptoniphilus	Bacteria	27	141	7	54.16	66.29	3	6	27	0	0.8186	both split	15
Sporosarcina	Bacteria	27	520	2	57.51	70.30	1	2	27	0	1.0	both split	34
Thalassotalea	Bacteria	27	636	2	63.31	67.07	0	8	22	5	0.389	both split	29
Demequina	Bacteria	26	276	2	61.11	72.16	0	1	26	0	0.0	RaGCAn split, GTDB one genus	37
Metabacillus	Bacteria	26	806	2	63.27	69.94	4	5	25	1	0.738	both split	77
Moraxella	Bacteria	25	354	2	63.34	72.39	1	2	25	0	1.0	both split	30
Treponema	Bacteria	25	31	15	48.66	55.84	1	6	24	1	0.216	both split	19
Anaerococcus	Bacteria	24	354	3	62.09	69.22	3	1	24	0	0.0	RaGCAn split, GTDB one genus	14
Vagococcus	Bacteria	24	312	6	59.91	64.80	1	6	24	0	0.9634	both split	32
Marinobacterium	Bacteria	23	498	4	60.40	69.63	0	5	22	1	0.5596	both split	33
Weissella	Bacteria	23	290	4	61.65	67.82	4	1	23	0	0.0	RaGCAn split, GTDB one genus	11
Fusobacterium	Bacteria	22	255	4	58.35	71.17	1	4	20	2	1.0	both split	15
Peribacillus	Bacteria	22	805	3	62.81	70.47	1	4	20	2	0.9368	both split	31
Porphyromonas	Bacteria	21	124	10	54.04	60.92	1	2	20	1	0.0914	both split	15
Ligilactobacillus	Bacteria	20	261	6	61.62	65.63	0	1	19	1	0.0	RaGCAn split, GTDB one genus	9
Desulfovibrio	Bacteria	19	121	9	51.66	59.04	0	8	16	3	1.0	both split	17
Ornithinimicrobium	Bacteria	19	409	2	64.89	71.85	0	1	18	1	0.0	RaGCAn split, GTDB one genus	18
Alicyclobacillus	Bacteria	18	358	5	58.21	64.40	1	4	18	0	0.5204	both split	29
Arcobacter	Bacteria	18	620	2	64.99	73.76	0	5	18	0	-0.1306	both split	16
Exiguobacterium	Bacteria	18	882	2	63.33	73.78	4	2	16	2	1.0	both split	55
Metamycoplasma	Bacteria	18	39	5	52.29	64.64	0	2	18	0	0.0767	both split	5
Pseudodesulfovibrio	Bacteria	18	799	2	63.03	72.19	0	1	17	1	0.0	RaGCAn split, GTDB one genus	20
Sulfurimonas	Bacteria	18	472	2	61.55	71.21	0	2	16	2	1.0	both split	11
Alistipes	Bacteria	17	289	3	59.85	71.85	1	3	17	0	1.0	both split	28
Pseudooceanicola	Bacteria	17	582	2	64.51	70.48	1	2	15	2	-0.0448	both split	51
Rothia	Bacteria	17	393	2	62.38	68.29	2	1	16	1	0.0	RaGCAn split, GTDB one genus	29
Eubacterium	Bacteria	16	38	11	47.15	53.50	1	12	16	0	0.8248	both split	14
Fictibacillus	Bacteria	16	1006	2	64.51	72.65	1	3	16	0	0.8992	both split	63
Georgenia	Bacteria	16	608	2	64.34	70.68	0	5	15	1	0.5168	both split	46
Lentibacillus	Bacteria	16	689	2	63.57	71.66	0	4	14	2	0.2222	both split	47
Megasphaera	Bacteria	16	383	3	62.89	69.96	1	2	16	0	-0.1399	both split	28
Phenylobacterium	Bacteria	16	602	2	63.84	70.48	0	2	15	1	1.0	both split	41
Psychroflexus	Bacteria	16	719	2	64.00	72.89	0	1	16	0	0.0	RaGCAn split, GTDB one genus	45
Roseomonas	Bacteria	16	698	2	63.88	69.02	0	4	16	0	0.6418	both split	64
Tessaracoccus	Bacteria	16	258	3	62.04	69.89	1	1	15	1	0.0	RaGCAn split, GTDB one genus	27
Actinobacillus	Bacteria	15	376	2	63.83	77.87	7	6	15	0	0.1159	both split	8
Capnocytophaga	Bacteria	15	459	3	63.96	72.25	1	1	15	0	0.0	RaGCAn split, GTDB one genus	8
Microlunatus	Bacteria	15	482	5	60.36	65.58	0	1	15	0	0.0	RaGCAn split, GTDB one genus	45
Nitratireductor	Bacteria	15	999	2	64.23	73.81	3	3	14	1	0.0455	both split	68
Sphaerisporangium	Bacteria	15	301	2	53.75	75.45	0	1	14	1	nan	both coherent	64
Agrococcus	Bacteria	14	592	2	63.02	75.30	0	1	14	0	0.0	RaGCAn split, GTDB one genus	11
Nitrosomonas	Bacteria	14	665	2	63.57	69.55	0	1	12	2	0.0	RaGCAn split, GTDB one genus	41
Aerococcus	Bacteria	13	180	6	56.08	63.10	6	1	12	1	0.0	RaGCAn split, GTDB one genus	19
Aliidiomarina	Bacteria	13	711	2	64.22	69.42	1	1	13	0	0.0	RaGCAn split, GTDB one genus	46
Aureimonas	Bacteria	13	802	2	63.79	68.90	0	2	13	0	-0.1375	both split	60
Dietzia	Bacteria	13	818	2	64.32	81.47	5	1	12	1	0.0	RaGCAn split, GTDB one genus	53
Mesoplasma	Bacteria	13	101	3	55.30	68.54	1	4	13	0	0.8082	both split	12
Schaalia	Bacteria	13	380	2	64.34	69.11	0	1	13	0	0.0	RaGCAn split, GTDB one genus	28
Adlercreutzia	Bacteria	12	387	2	64.44	74.02	1	4	11	1	0.4898	both split	10
Anoxybacillus	Bacteria	12	973	2	64.06	88.13	11	2	12	0	1.0	both split	9
Arcanobacterium	Bacteria	12	293	4	61.83	67.85	0	2	12	0	0.5629	both split	6
Lacinutrix	Bacteria	12	514	2	64.95	74.48	0	2	8	4	-0.1034	both split	39
Rathayibacter	Bacteria	12	597	2	62.60	80.66	1	2	12	0	1.0	both split	41
Croceicoccus	Bacteria	11	717	2	64.77	72.69	0	2	11	0	1.0	both split	8
Ferrimonas	Bacteria	11	998	2	63.78	69.01	0	1	11	0	0.0	RaGCAn split, GTDB one genus	9
Fructilactobacillus	Bacteria	11	475	2	63.95	72.71	2	1	11	0	0.0	RaGCAn split, GTDB one genus	5
Fulvivirga	Bacteria	11	787	3	61.87	67.78	0	1	10	1	0.0	RaGCAn split, GTDB one genus	15
Mesomycoplasma	Bacteria	11	33	6	51.27	59.03	0	3	11	0	0.3605	both split	7
Nakamurella	Bacteria	11	461	4	61.37	64.46	0	1	11	0	0.0	RaGCAn split, GTDB one genus	12
Pediococcus	Bacteria	11	507	2	63.28	70.47	0	1	11	0	0.0	RaGCAn split, GTDB one genus	6
Roseburia	Bacteria	11	341	3	60.38	67.19	0	6	11	0	0.3304	both split	8
Ruminococcus	Bacteria	11	73	9	48.56	54.21	0	7	9	2	0.3571	both split	7
Actinotalea	Bacteria	10	493	2	60.60	69.16	0	1	8	2	nan	both coherent	9
Adhaeribacter	Bacteria	10	853	2	64.32	70.18	0	2	10	0	1.0	both split	14
