genus	n	not_in_gtdb	bins	gtdb_genera	ari	identical
Bacillus	118	14	26	41	0.9676	0
Bacteroides	54	4	2	3	0.4031	0
Bartonella	53	2	1	1	nan	1
Bathymodiolus	5	0	2	2	1.0	0
Bdellovibrio	4	0	1	1	nan	1
Belliella	9	0	1	1	nan	1
Belnapia	4	0	1	1	nan	1
Bergeyella	4	0	1	3	0.0	0
Bhargavaea	6	0	1	1	nan	1
Bifidobacterium	105	4	2	3	0.7302	0
Billgrantia	17	1	1	1	nan	1
Bizionia	7	1	1	2	0.0	0
Blastococcus	17	0	1	2	0.0	0
Blastomonas	4	0	1	1	nan	1
Blautia	27	2	5	4	0.9175	0
Bombella	8	0	1	1	nan	1
Bombilactobacillus	6	0	1	1	nan	1
Bordetella	14	3	1	3	0.0	0
Borrelia	14	2	1	1	nan	1
Borreliella	17	0	1	1	nan	1
Bowmanella	3	1	1	1	nan	1
Brachybacterium	28	1	1	1	nan	1
Brachyspira	11	0	1	1	nan	1
Bradyrhizobium	86	4	1	2	0.0	0
Brenneria	12	0	1	2	0.0	0
Brevibacillus	32	2	3	9	0.6076	0
Brevibacterium	40	0	5	1	0.0	0
Brevundimonas	40	0	1	1	nan	1
Brucella	26	1	1	1	nan	1
Brumimicrobium	5	0	1	1	nan	1
Burkholderia	46	0	1	1	nan	1
Buttiauxella	9	0	1	1	nan	1
Butyricicoccus	4	0	3	3	1.0	0
Butyricimonas	7	0	1	1	nan	1
Caballeronia	26	0	1	1	nan	1
Caenimonas	5	0	1	1	nan	1
Caldalkalibacillus	4	1	3	3	1.0	0
Caldicellulosiruptor	10	0	1	1	nan	1
Caldimonas	8	1	1	1	nan	1
Calidithermus	4	0	1	1	nan	1
Caloramator	5	0	3	3	1.0	0
Campylobacter	55	0	11	6	0.8159	0
Capnocytophaga	15	0	3	1	0.0	0
Carboxydothermus	4	0	1	1	nan	1
Carboxylicivirga	10	0	1	1	nan	1
Carnobacterium	11	1	1	3	0.0	0
Castellaniella	6	0	1	1	nan	1
Catellatospora	10	0	1	1	nan	1
Catenovulum	4	0	1	1	nan	1
Catenulispora	6	0	1	1	nan	1
Catenuloplanes	5	0	1	1	nan	1
Caulobacter	13	0	1	1	nan	1
Cedecea	5	0	1	2	0.0	0
Celeribacter	10	0	1	1	nan	1
Celerinatantimonas	4	0	1	1	nan	1
Cellulomonas	46	4	1	4	0.0	0
Cellulophaga	6	0	1	1	nan	1
Cellulosimicrobium	7	0	1	1	nan	1
Cellvibrio	7	0	1	1	nan	1
Centipeda	8	0	1	1	nan	1
Cerasicoccus	4	0	1	1	nan	1
Cereibacter	6	0	1	2	0.0	0
Chelativorans	8	0	1	1	nan	1
Chelatococcus	6	0	2	3	0.5	0
Chitinibacter	4	0	1	1	nan	1
Chitinimonas	5	2	1	2	0.0	0
Chitinophaga	48	0	3	1	0.0	0
Chlamydia	17	0	1	1	nan	1
Chlorobaculum	4	0	1	1	nan	1
Chlorobium	4	0	1	1	nan	1
Christensenella	6	0	1	1	nan	1
Christiangramia	18	0	1	1	nan	1
Chromobacterium	16	0	1	1	nan	1
Chromohalobacter	7	0	1	1	nan	1
Chryseobacterium	133	4	1	4	0.0	0
Ciceribacter	5	0	1	1	nan	1
Citricoccus	5	0	1	1	nan	1
Citrobacter	21	0	1	5	0.0	0
Clavibacter	12	2	1	1	nan	1
Clostridium	157	7	46	45	0.5197	0
Cognatiluteimonas	5	0	1	1	nan	1
Cognatilysobacter	6	0	1	2	0.0	0
Cognatundibacterium	10	0	1	1	nan	1
Cohaesibacter	4	1	1	1	nan	1
Cohnella	37	0	2	1	0.0	0
Collimonas	7	0	1	1	nan	1
Collinsella	11	0	1	1	nan	1
Colwellia	11	2	1	3	0.0	0
Comamonas	30	2	2	4	0.2817	0
Commensalibacter	5	0	1	1	nan	1
Companilactobacillus	35	1	1	1	nan	1
Confluentibacter	4	0	1	1	nan	1
Coprococcus	7	0	3	4	0.8591	0
Coraliomargarita	4	0	1	4	0.0	0
Corallincola	4	0	1	1	nan	1
Corallococcus	13	1	1	2	0.0	0
Corynebacterium	182	1	16	1	0.0	0
Crenobacter	5	0	1	3	0.0	0
Croceibacterium	9	0	1	4	0.0	0
Croceicoccus	11	0	2	2	1.0	0
Croceitalea	4	0	1	1	nan	1
Cronobacter	7	0	1	1	nan	1
Cryobacterium	35	0	1	1	nan	1
Cryptosporangium	5	0	1	1	nan	1
Cupriavidus	28	1	1	1	nan	1
Curtobacterium	17	1	1	1	nan	1
Curvibacter	6	1	1	3	0.0	0
Cutibacterium	6	2	1	1	nan	1
Cyclobacterium	9	1	1	1	nan	1
Cytobacillus	17	1	1	2	0.0	0
Dactylosporangium	10	1	1	1	nan	1
Dechloromonas	5	0	1	1	nan	1
Deefgea	5	0	1	1	nan	1
Deferribacter	4	0	1	1	nan	1
Dehalogenimonas	4	0	1	1	nan	1
Deinococcus	90	1	5	4	0.4073	0
Delftia	4	0	1	1	nan	1
Demequina	26	0	2	1	0.0	0
Dermacoccus	4	0	1	1	nan	1
Desulfitobacterium	6	1	1	2	0.0	0
Desulfobacter	5	0	1	1	nan	1
Desulfobotulus	3	1	1	1	nan	1
Desulfobulbus	6	0	2	1	0.0	0
Desulfofundulus	7	0	1	2	0.0	0
Desulfogranum	3	1	1	1	nan	1
Desulfomicrobium	6	2	1	1	nan	1
Desulfonatronum	4	1	1	1	nan	1
Desulforamulus	7	1	1	1	nan	1
Desulfosarcina	4	1	1	1	nan	1
Desulfosporosinus	12	2	1	1	nan	1
Desulfovibrio	16	3	8	8	1.0	0
Desulfurivibrio	4	0	1	1	nan	1
Desulfurobacterium	3	2	1	2	0.0	0
Desulfuromonas	4	2	3	4	0.0	0
Dethiosulfovibrio	6	0	1	1	nan	1
Devosia	40	2	2	3	0.9928	0
Dialister	6	0	3	2	0.5872	0
Diaphorobacter	5	1	1	3	0.0	0
Dickeya	13	0	1	1	nan	1
Dictyobacter	5	2	1	1	nan	1
Dietzia	12	1	2	1	0.0	0
Dokdonella	6	0	1	2	0.0	0
Dokdonia	5	0	1	1	nan	1
Dolichospermum	5	0	1	1	nan	1
Domibacillus	9	0	1	1	nan	1
Dongia	5	0	4	3	0.4118	0
Dorea	6	1	1	5	0.0	0
Draconibacterium	5	0	1	1	nan	1
Dryocola	5	0	1	1	nan	1
Duganella	20	4	1	1	nan	1
Duncaniella	4	0	1	1	nan	1
Dyadobacter	29	1	1	1	nan	1
Dyella	34	4	1	6	0.0	0
Dysgonomonas	4	2	1	1	nan	1
Echinicola	10	1	1	1	nan	1
Ectobacillus	6	0	1	1	nan	1
Ectopseudomonas	8	1	1	1	nan	1
Ectothiorhodospira	7	0	1	1	nan	1
Edaphobacter	8	0	1	1	nan	1
Edwardsiella	5	0	1	1	nan	1
Effusibacillus	4	0	1	1	nan	1
Eggerthella	5	0	1	1	nan	1
Ehrlichia	7	0	2	2	1.0	0
Eikenella	5	0	1	1	nan	1
Elizabethkingia	7	0	1	1	nan	1
Empedobacter	5	0	1	1	nan	1
Emticicia	6	1	1	1	nan	1
Endozoicomonas	10	0	1	2	0.0	0
Enorma	5	0	1	1	nan	1
Ensifer	6	0	1	3	0.0	0
Enterobacter	28	0	1	1	nan	1
Enterocloster	5	1	1	1	nan	1
Enterococcus	63	8	5	13	0.5369	0
Enterovibrio	10	0	1	1	nan	1
Epilithonimonas	14	0	1	1	nan	1
Erwinia	22	2	1	1	nan	1
Erysipelothrix	10	0	5	1	0.0	0
Erythrobacter	21	0	1	3	0.0	0
Escherichia	6	0	1	1	nan	1
Eubacterium	16	0	11	12	0.8248	0
Evansella	6	0	1	2	0.0	0
Exiguobacterium	16	2	2	2	1.0	0
Facklamia	3	1	2	1	0.0	0
Faecalibacterium	12	0	1	1	nan	1
Faecalicatena	5	0	2	4	0.1379	0
Falsirhodobacter	4	0	1	1	nan	1
Falsiroseomonas	10	0	1	1	nan	1
Ferdinandcohnia	4	0	1	1	nan	1
Ferrimonas	11	0	2	1	0.0	0
Ferruginibacter	4	1	2	1	0.0	0
Fervidobacterium	7	0	1	2	0.0	0
Fibrella	7	0	1	1	nan	1
Fictibacillus	16	0	2	3	0.8992	0
Flagellimonas	48	0	1	3	0.0	0
Flammeovirga	6	0	1	1	nan	1
Flaviflexus	5	0	1	1	nan	1
Flavihumibacter	7	1	1	1	nan	1
Flavisolibacter	4	1	1	1	nan	1
Flavivirga	9	0	1	2	0.0	0
Flavobacterium	319	8	4	1	0.0	0
Flectobacillus	4	0	1	1	nan	1
Flexivirga	6	1	1	1	nan	1
Flintibacter	4	0	1	1	nan	1
Fodinibius	9	0	1	1	nan	1
Formosa	7	0	1	1	nan	1
Francisella	15	0	1	1	nan	1
Frankia	8	0	1	2	0.0	0
Frateuria	7	0	1	3	0.0	0
Frondihabitans	4	0	1	1	nan	1
Fructilactobacillus	11	0	2	1	0.0	0
Fructobacillus	13	0	1	1	nan	1
Fulvimarina	6	0	1	1	nan	1
Fulvivirga	10	1	2	1	0.0	0
Fundidesulfovibrio	5	1	1	1	nan	1
Furfurilactobacillus	4	2	1	1	nan	1
Fusibacter	3	2	3	3	nan	0
Fusobacterium	20	2	4	4	1.0	0
Gaetbulibacter	4	0	1	4	0.0	0
Galbibacter	5	0	1	1	nan	1
Gallaecimonas	4	1	1	1	nan	1
Gallibacterium	5	0	1	1	nan	1
Gardnerella	15	4	1	1	nan	1
Gelidibacter	8	0	1	1	nan	1
Gemella	5	3	1	1	nan	1
Gemmata	4	0	1	1	nan	1
Gemmobacter	12	0	1	2	0.0	0
Geobacillus	11	1	1	1	nan	1
Geobacter	8	1	1	2	0.0	0
Geodermatophilus	20	0	1	1	nan	1
Geomonas	14	0	1	1	nan	1
Georgenia	15	1	2	5	0.5168	0
Geothrix	12	0	1	1	nan	1
Gilliamella	6	0	1	1	nan	1
Gillisia	6	0	1	1	nan	1
Gilvimarinus	7	0	1	1	nan	1
Gimesia	8	0	1	1	nan	1
Gluconacetobacter	13	0	1	2	0.0	0
Gluconobacter	17	0	1	1	nan	1
Glutamicibacter	12	1	1	1	nan	1
Glycomyces	21	3	1	1	nan	1
Gordonia	59	0	2	2	1.0	0
Gottfriedia	4	0	1	1	nan	1
Gracilibacillus	21	1	1	1	nan	1
Gracilimonas	6	0	1	1	nan	1
Granulicatella	3	1	2	1	0.0	0
Granulicella	9	0	2	2	1.0	0
Grimontia	6	0	1	1	nan	1
Gryllotalpicola	6	0	1	1	nan	1
Gulosibacter	6	0	1	1	nan	1
Guptibacillus	4	0	1	1	nan	1
Gymnodinialimonas	5	0	1	1	nan	1
Haemophilus	10	0	1	4	0.0	0
Haladaptatus	7	3	1	1	nan	1
Halalkalibacter	11	2	1	2	0.0	0
Halalkalicoccus	5	1	1	1	nan	1
Halanaerobium	7	1	1	1	nan	1
Halarchaeum	5	0	1	1	nan	1
Halarcobacter	4	0	1	1	nan	1
Hallella	7	0	1	1	nan	1
Haloarchaeobius	10	0	1	1	nan	1
Haloarcula	30	2	1	1	nan	1
Halobacillus	24	0	1	3	0.0	0
Halobacterium	9	1	1	1	nan	1
Halobaculum	11	0	1	1	nan	1
Halobellus	13	0	1	1	nan	1
Halocatena	4	0	1	1	nan	1
Halococcus	9	1	1	1	nan	1
Halodesulfovibrio	3	1	1	1	nan	1
Haloechinothrix	4	0	1	2	0.0	0
Haloferax	17	0	1	1	nan	1
Haloferula	5	0	1	1	nan	1
Halogeometricum	6	0	1	1	nan	1
Haloglomus	4	0	1	1	nan	1
Halogranum	3	1	1	1	nan	1
Haloimpatiens	4	0	1	1	nan	1
Halolamina	5	1	1	1	nan	1
Halomarina	7	0	1	1	nan	1
Halomicrobium	5	0	1	1	nan	1
Halomonas	65	6	1	5	0.0	0
Halonotius	4	0	1	1	nan	1
Halopiger	4	1	1	3	0.0	0
Haloplanus	13	0	1	1	nan	1
Haloprofundus	5	0	1	1	nan	1
Halopseudomonas	16	1	1	1	nan	1
Halorhabdus	5	0	1	1	nan	1
Halorhodospira	4	0	1	1	nan	1
Halorientalis	7	1	1	1	nan	1
Halorubrum	40	8	1	1	nan	1
Halorussus	17	0	1	1	nan	1
Halosimplex	11	0	1	1	nan	1
Halostella	4	0	1	1	nan	1
Haloterrigena	6	0	1	1	nan	1
Halovenus	7	1	1	1	nan	1
Halovivax	5	0	1	1	nan	1
Hansschlegelia	4	0	1	1	nan	1
Hanstruepera	4	0	1	1	nan	1
Hathewaya	4	0	2	1	0.0	0
Helcococcus	5	0	2	1	0.0	0
Helicobacter	58	2	12	10	0.8857	0
Heliomicrobium	3	1	1	1	nan	1
Henriciella	7	0	1	1	nan	1
Herbaspirillum	11	1	1	1	nan	1
Herbiconiux	13	0	1	1	nan	1
Herbidospora	7	0	1	1	nan	1
Herminiimonas	5	0	1	1	nan	1
Herpetosiphon	4	0	1	1	nan	1
Heyndrickxia	10	0	1	4	0.0	0
Hoeflea	5	0	2	2	1.0	0
Holospora	4	0	1	1	nan	1
Homoserinimonas	3	1	1	1	nan	1
Hoylesella	9	1	1	1	nan	1
Hoyosella	4	0	1	2	0.0	0
Hyalangium	4	0	1	2	0.0	0
Hydrogenimonas	4	0	1	1	nan	1
Hydrogenophaga	16	2	1	1	nan	1
Hydrogenovibrio	4	1	1	1	nan	1
Hymenobacter	108	9	1	2	0.0	0
Hyphobacterium	4	0	1	1	nan	1
Hyphococcus	5	0	1	1	nan	1
Hyphomicrobium	7	0	3	3	1.0	0
Hyphomonas	10	0	1	1	nan	1
Hyunsoonleella	7	0	1	2	0.0	0
Ideonella	11	0	1	1	nan	1
Idiomarina	14	0	1	1	nan	1
Ignatzschineria	5	0	1	1	nan	1
Inhella	4	0	1	1	nan	1
Intrasporangium	5	1	1	4	0.0	0
Iodobacter	4	0	1	1	nan	1
Isoptericola	14	1	1	1	nan	1
Janibacter	14	0	1	4	0.0	0
Jannaschia	14	0	1	1	nan	1
Janthinobacterium	28	1	1	1	nan	1
Jatrophihabitans	4	1	2	3	0.5714	0
Jeongeupia	4	0	1	1	nan	1
Jeotgalibaca	5	0	1	1	nan	1
Jeotgalibacillus	9	0	1	1	nan	1
Jeotgalicoccus	7	0	1	1	nan	1
Jiangella	11	0	1	1	nan	1
Jiella	9	0	1	2	0.0	0
Kaistella	18	0	1	1	nan	1
Kaistia	10	0	1	1	nan	1
Kangiella	10	0	1	1	nan	1
Kibdelosporangium	5	0	1	1	nan	1
Kiloniella	5	0	1	1	nan	1
Kineococcus	24	1	1	2	0.0	0
Kineosporia	5	0	1	1	nan	1
