genus	n	not_in_gtdb	bins	gtdb_genera	ari	identical
Micrococcus	11	0	1	2	0.0	0
Microcoleus	7	7	1	1	nan	1
Microcystis	5	0	1	1	nan	1
Microlunatus	15	0	5	1	0.0	0
Micromonospora	124	5	2	6	0.271	0
Microtetraspora	4	0	1	2	0.0	0
Microvirga	36	2	1	1	nan	1
Mixta	7	0	1	2	0.0	0
Mobiluncus	4	0	1	1	nan	1
Modestobacter	8	2	1	1	nan	1
Modicisalibacter	6	1	1	1	nan	1
Mogibacterium	5	0	2	2	1.0	0
Moraxella	25	0	2	2	1.0	0
Moritella	4	0	1	1	nan	1
Motilibacter	4	0	1	2	0.0	0
Motilimonas	4	0	1	1	nan	1
Mucilaginibacter	81	4	2	2	-0.0193	0
Mumia	6	0	1	1	nan	1
Muricoccus	6	0	1	1	nan	1
Myceligenerans	5	2	1	1	nan	1
Mycetocola	6	3	3	3	1.0	0
Mycobacterium	111	3	1	1	nan	1
Mycobacteroides	7	0	1	1	nan	1
Mycolicibacter	15	0	1	1	nan	1
Mycolicibacterium	88	6	1	1	nan	1
Mycoplana	4	0	1	1	nan	1
Mycoplasma	48	2	23	11	0.4261	0
Mycoplasmoides	6	0	4	2	0.1429	0
Mycoplasmopsis	43	1	21	4	0.0179	0
Myroides	12	0	1	1	nan	1
Myxococcus	12	0	1	1	nan	1
Nakamurella	11	0	4	1	0.0	0
Nannocystis	5	0	1	1	nan	1
Natrarchaeobius	4	0	1	1	nan	1
Natrialba	6	1	1	2	0.0	0
Natrinema	22	1	1	1	nan	1
Natronobacterium	4	0	1	1	nan	1
Natronococcus	7	0	1	1	nan	1
Natronomonas	10	0	1	1	nan	1
Natronorubrum	13	0	1	1	nan	1
Natronosalvus	6	0	1	1	nan	1
Neisseria	41	0	1	2	0.0	0
Neobacillus	31	2	1	4	0.0	0
Neolewinella	10	0	2	1	0.0	0
Neoluteolibacter	6	0	1	1	nan	1
Neomoorella	6	0	1	1	nan	1
Neorhizobium	13	0	1	1	nan	1
Neoroseomonas	8	0	1	1	nan	1
Neotamlana	4	0	1	1	nan	1
Neptuniibacter	4	0	1	1	nan	1
Neptunomonas	6	0	1	1	nan	1
Nesterenkonia	26	2	2	1	0.0	0
Niabella	10	2	1	1	nan	1
Niallia	8	2	2	2	1.0	0
Niastella	6	0	1	1	nan	1
Nioella	5	0	1	1	nan	1
Nisaea	4	0	1	1	nan	1
Nitratidesulfovibrio	4	0	1	2	0.0	0
Nitratireductor	14	1	2	3	0.0455	0
Nitrincola	9	0	1	1	nan	1
Nitrosococcus	4	0	1	1	nan	1
Nitrosomonas	12	2	2	1	0.0	0
Nitrosopumilus	7	0	1	1	nan	1
Nitrospira	5	2	2	4	0.1379	0
Nitrospirillum	9	0	1	1	nan	1
Niveispirillum	3	1	1	1	nan	1
Nocardia	119	8	1	1	nan	1
Nocardioides	161	16	6	6	0.2195	0
Nocardiopsis	45	7	1	5	0.0	0
Nodularia	4	0	1	1	nan	1
Nonlabens	11	0	1	1	nan	1
Nonomuraea	64	1	1	1	nan	1
Nostoc	14	0	1	3	0.0	0
Nostocoides	4	1	2	2	1.0	0
Novacetimonas	4	0	1	1	nan	1
Noviherbaspirillum	16	1	1	3	0.0	0
Novilysobacter	8	0	1	3	0.0	0
Novipirellula	7	0	1	2	0.0	0
Novosphingobium	69	0	3	1	0.0	0
Occallatibacter	4	0	1	1	nan	1
Occultella	4	0	1	1	nan	1
Oceaniglobus	4	0	1	1	nan	1
Oceanimonas	6	0	1	1	nan	1
Oceanisphaera	9	1	1	1	nan	1
Oceanobacillus	35	0	3	4	-0.126	0
Oceanospirillum	6	0	1	1	nan	1
Ochrobactrum	5	0	1	1	nan	1
Octadecabacter	6	0	1	1	nan	1
Oerskovia	9	0	1	2	0.0	0
Olivibacter	5	0	1	1	nan	1
Olleya	4	0	1	1	nan	1
Olsenella	9	0	2	8	0.0357	0
Orbus	5	0	1	1	nan	1
Oricola	4	0	1	1	nan	1
Ornithinibacillus	14	1	1	2	0.0	0
Ornithinimicrobium	18	1	2	1	0.0	0
Oscillibacter	4	0	1	1	nan	1
Ottowia	8	1	1	1	nan	1
Oxalobacter	5	0	1	1	nan	1
Pacificoceanicola	4	0	1	1	nan	1
Paenalcaligenes	5	0	1	1	nan	1
Paenalicyclobacillus	5	0	3	4	0.6154	0
Paenarthrobacter	7	0	1	1	nan	1
Paenibacillus	319	14	29	37	0.9341	0
Paeniglutamicibacter	9	0	1	1	nan	1
Paenilisteria	5	0	1	1	nan	1
Paenimyroides	6	1	1	1	nan	1
Paenirhizobium	4	0	1	1	nan	1
Paenirhodobacter	5	0	1	1	nan	1
Paenisporosarcina	5	0	1	1	nan	1
Palleronia	9	0	1	1	nan	1
Paludibacterium	5	0	1	2	0.0	0
Paludisphaera	4	0	1	1	nan	1
Pandoraea	28	0	1	1	nan	1
Pannonibacter	5	0	1	1	nan	1
Pantoea	32	1	1	3	0.0	0
Parabacteroides	22	0	1	2	0.0	0
Paraburkholderia	97	4	1	1	nan	1
Paracidovorax	8	0	1	1	nan	1
Paraclostridium	6	0	1	1	nan	1
Paracoccus	97	0	1	1	nan	1
Paractinoplanes	19	0	1	1	nan	1
Paraflavitalea	4	0	1	1	nan	1
Parafrankia	5	0	1	1	nan	1
Paragemmobacter	5	0	1	1	nan	1
Parageobacillus	5	0	1	3	0.0	0
Paraglaciecola	9	1	1	1	nan	1
Paraliobacillus	4	1	1	2	0.0	0
Paramagnetospirillum	5	0	1	1	nan	1
Paramesorhizobium	4	0	1	1	nan	1
Paramicrobacterium	5	0	1	1	nan	1
Paraniabella	4	0	1	1	nan	1
Parapedobacter	12	0	1	1	nan	1
Pararhizobium	7	0	2	2	1.0	0
Pararhodobacter	4	0	1	1	nan	1
Parasedimentitalea	5	0	1	1	nan	1
Parashewanella	4	0	1	1	nan	1
Parasphingomonas	5	0	1	1	nan	1
Parasphingorhabdus	5	1	1	1	nan	1
Parerythrobacter	4	1	1	2	0.0	0
Parvimonas	4	0	1	1	nan	1
Parvularcula	7	0	4	1	0.0	0
Pasteurella	7	0	1	3	0.0	0
Patulibacter	5	1	1	1	nan	1
Paucilactobacillus	7	1	1	1	nan	1
Pectinatus	5	0	1	1	nan	1
Pectobacterium	26	0	1	2	0.0	0
Pediococcus	11	0	2	1	0.0	0
Pedobacter	92	2	3	3	1.0	0
Pedococcus	6	1	1	2	0.0	0
Pelagerythrobacter	4	0	1	1	nan	1
Pelagibacterium	11	0	1	1	nan	1
Pelistega	4	0	1	1	nan	1
Pelomonas	10	0	1	1	nan	1
Pelotomaculum	4	0	1	3	0.0	0
Peptoniphilus	27	0	7	6	0.8186	0
Peptostreptococcus	7	0	1	1	nan	1
Peribacillus	20	2	3	4	0.9368	0
Periweissella	5	0	1	1	nan	1
Peteryoungia	7	0	1	1	nan	1
Petrotoga	5	1	1	1	nan	1
Phaeobacter	7	0	1	1	nan	1
Phenylobacterium	15	1	2	2	1.0	0
Phocaeicola	16	2	1	1	nan	1
Photobacterium	46	0	1	1	nan	1
Photorhabdus	25	1	1	1	nan	1
Phreatobacter	4	1	1	1	nan	1
Phycicoccus	8	1	1	2	0.0	0
Phyllobacterium	13	1	1	2	0.0	0
Phytoactinopolyspora	6	0	1	2	0.0	0
Phytobacter	3	1	1	2	0.0	0
Phytohabitans	7	0	1	1	nan	1
Phytopseudomonas	6	0	1	1	nan	1
Pigmentiphaga	6	0	2	1	0.0	0
Planctomicrobium	5	0	2	1	0.0	0
Planktothrix	5	0	1	1	nan	1
Planococcus	31	1	1	2	0.0	0
Planomonospora	4	1	1	2	0.0	0
Planosporangium	4	0	1	1	nan	1
Planotetraspora	5	0	1	1	nan	1
Plantactinospora	8	0	1	2	0.0	0
Pleomorphomonas	4	0	1	1	nan	1
Polaribacter	30	0	1	1	nan	1
Polaromonas	8	0	1	1	nan	1
Pollutimonas	6	0	1	4	0.0	0
Polyangium	5	1	1	1	nan	1
Polynucleobacter	31	0	2	1	0.0	0
Pontibacillus	7	0	1	2	0.0	0
Pontibacter	44	2	1	1	nan	1
Pontivivens	4	0	1	1	nan	1
Pontixanthobacter	5	0	1	1	nan	1
Porphyromonas	20	1	10	2	0.0914	0
Poseidonibacter	4	0	1	1	nan	1
Prauserella	15	0	1	4	0.0	0
Prescottella	5	0	1	1	nan	1
Prevotella	31	5	4	2	0.1985	0
Priestia	10	0	3	5	0.5055	0
Primorskyibacter	4	0	1	2	0.0	0
Promicromonospora	11	2	1	1	nan	1
Propionibacterium	5	0	1	1	nan	1
Propioniciclava	5	0	2	1	0.0	0
Propionivibrio	3	1	1	1	nan	1
Prosthecobacter	6	1	1	1	nan	1
Prosthecochloris	4	0	1	1	nan	1
Proteus	11	0	1	1	nan	1
Providencia	17	0	1	1	nan	1
Pseudaeromonas	3	1	1	1	nan	1
Pseudalkalibacillus	4	0	1	1	nan	1
Pseudanabaena	7	0	1	1	nan	1
Pseudaquabacterium	4	0	1	1	nan	1
Pseudarthrobacter	16	11	1	1	nan	1
Pseudidiomarina	23	1	1	1	nan	1
Pseudoalteromonas	56	1	3	1	0.0	0
Pseudoblastomonas	4	0	1	2	0.0	0
Pseudochrobactrum	7	0	1	1	nan	1
Pseudocitrobacter	4	0	1	1	nan	1
Pseudoclavibacter	6	0	3	2	0.4444	0
Pseudodesulfovibrio	17	1	2	1	0.0	0
Pseudoduganella	19	0	1	1	nan	1
Pseudoflavonifractor	5	0	1	3	0.0	0
Pseudofrankia	4	0	1	1	nan	1
Pseudogemmobacter	7	0	1	1	nan	1
Pseudolactococcus	9	2	1	1	nan	1
Pseudomaricurvus	4	0	1	1	nan	1
Pseudomonas	362	29	2	12	0.2325	0
Pseudonocardia	45	4	2	1	0.0	0
Pseudooceanicola	15	2	2	2	-0.0448	0
Pseudophaeobacter	4	0	1	1	nan	1
Pseudorhizobium	8	0	1	1	nan	1
Pseudorhodobacter	5	0	1	1	nan	1
Pseudotabrizicola	4	0	1	1	nan	1
Pseudothauera	4	0	1	1	nan	1
Pseudothermotoga	5	0	2	3	0.2857	0
Pseudovibrio	7	0	1	1	nan	1
Pseudoxanthomonas	22	2	1	2	0.0	0
Psychrobacillus	10	1	1	1	nan	1
Psychrobacter	45	0	1	1	nan	1
Psychroflexus	16	0	2	1	0.0	0
Psychromicrobium	4	0	1	1	nan	1
Psychromonas	10	0	1	1	nan	1
Psychroserpens	8	1	1	1	nan	1
Psychrosphaera	6	0	2	1	0.0	0
Pyrobaculum	6	1	1	1	nan	1
Pyrococcus	6	0	1	1	nan	1
Pyrodictium	3	1	1	1	nan	1
Pyxidicoccus	5	0	1	1	nan	1
Qipengyuania	37	3	1	6	0.0	0
Rahnella	15	0	1	1	nan	1
Ralstonia	17	1	1	1	nan	1
Ramlibacter	18	1	1	1	nan	1
Rathayibacter	12	0	2	2	1.0	0
Reichenbachiella	6	0	2	1	0.0	0
Reinekea	5	0	2	1	0.0	0
Reyranella	4	0	1	1	nan	1
Rheinheimera	23	1	1	2	0.0	0
Rhizobacter	3	1	1	3	0.0	0
Rhizobium	70	5	1	9	0.0	0
Rhizorhabdus	6	0	1	1	nan	1
Rhodanobacter	17	2	1	2	0.0	0
Rhodobacter	9	1	1	3	0.0	0
Rhodococcoides	6	0	1	1	nan	1
Rhodococcus	43	7	2	6	0.0304	0
Rhodoferax	12	0	1	4	0.0	0
Rhodohalobacter	4	0	1	1	nan	1
Rhodopirellula	6	0	2	2	1.0	0
Rhodoplanes	5	0	1	1	nan	1
Rhodopseudomonas	8	2	2	4	0.3125	0
Rhodovulum	13	0	1	1	nan	1
Rickettsia	26	2	1	1	nan	1
Robertkochia	5	0	1	1	nan	1
Robertmurraya	9	0	1	2	0.0	0
Robiginitalea	6	2	1	1	nan	1
Rodentibacter	10	0	1	1	nan	1
Romboutsia	8	0	1	7	0.0	0
Roseateles	23	0	1	11	0.0	0
Roseburia	11	0	3	6	0.3304	0
Roseibium	18	0	1	1	nan	1
Roseicyclus	7	0	1	2	0.0	0
Roseinatronobacter	6	0	1	1	nan	1
Roseivirga	7	0	1	1	nan	1
Roseivivax	7	0	1	1	nan	1
Roseixanthobacter	5	0	1	1	nan	1
Rosenbergiella	6	0	1	1	nan	1
Roseobacter	9	1	1	1	nan	1
Roseococcus	4	0	1	1	nan	1
Roseofilum	5	0	1	1	nan	1
Roseomonas	16	0	2	4	0.6418	0
Roseospira	4	0	1	1	nan	1
Roseovarius	39	1	1	1	nan	1
Rossellomorea	9	0	1	1	nan	1
Rothia	16	1	2	1	0.0	0
Rouxiella	4	0	1	1	nan	1
Ruania	7	0	1	1	nan	1
Rubellimicrobium	6	0	1	1	nan	1
Rubripirellula	5	0	1	1	nan	1
Rubritalea	5	0	1	1	nan	1
Rubrivirga	4	0	1	1	nan	1
Rubrivivax	4	0	1	1	nan	1
Rubrobacter	9	0	4	7	0.3415	0
Ruegeria	21	1	1	3	0.0	0
Rufibacter	13	1	1	1	nan	1
Rugamonas	7	0	1	1	nan	1
Ruminiclostridium	7	0	1	1	nan	1
Ruminococcus	9	2	7	7	0.3571	0
Runella	7	0	1	1	nan	1
Saccharibacillus	7	0	1	1	nan	1
Saccharolobus	4	0	1	1	nan	1
Saccharomonospora	11	0	1	2	0.0	0
Saccharopolyspora	35	2	1	3	0.0	0
Saccharospirillum	4	0	1	1	nan	1
Saccharothrix	21	3	1	1	nan	1
Salegentibacter	13	2	1	2	0.0	0
Salibacterium	5	0	1	1	nan	1
Salicibibacter	4	0	1	1	nan	1
Salimicrobium	6	0	1	1	nan	1
Salinarimonas	4	0	1	2	0.0	0
Salinibacter	4	0	1	1	nan	1
Salinicoccus	12	2	1	2	0.0	0
Salinicola	13	1	1	1	nan	1
Salinigranum	4	0	1	1	nan	1
Salinimicrobium	13	1	1	1	nan	1
Salinimonas	6	0	1	1	nan	1
Salinisphaera	5	1	1	1	nan	1
Salinispora	8	1	1	1	nan	1
Salinivibrio	5	1	1	1	nan	1
Salipaludibacillus	5	0	1	1	nan	1
Salipiger	11	0	1	1	nan	1
Sandarakinorhabdus	6	0	1	1	nan	1
Sanguibacter	9	0	1	2	0.0	0
Scandinavium	5	0	1	1	nan	1
Schaalia	13	0	2	1	0.0	0
Scytonema	4	0	1	2	0.0	0
Secundilactobacillus	14	2	1	1	nan	1
Sedimentitalea	5	0	1	1	nan	1
Sediminibacillus	5	0	1	2	0.0	0
Sediminibacterium	7	0	1	1	nan	1
Segatella	13	2	1	1	nan	1
Selenomonas	4	0	2	3	0.5714	0
Seonamhaeicola	4	1	1	1	nan	1
Serinicoccus	7	0	1	1	nan	1
Serratia	25	0	1	5	0.0	0
Shewanella	103	2	1	1	nan	1
Shigella	4	0	1	2	0.0	0
Shimia	13	0	1	4	0.0	0
Shinella	13	0	1	1	nan	1
Shouchella	12	0	1	1	nan	1
Silvimonas	4	0	1	1	nan	1
Simiduia	4	0	1	1	nan	1
Siminovitchia	6	1	1	1	nan	1
Simplicispira	6	1	1	1	nan	1
Singulisphaera	3	1	1	2	0.0	0
Sinomicrobium	5	2	1	1	nan	1
Sinomonas	14	1	1	1	nan	1
Sinorhizobium	17	1	1	1	nan	1
Skermanella	6	0	1	1	nan	1
Slackia	6	0	2	1	0.0	0
Sneathiella	7	1	1	1	nan	1
Sodalis	4	0	1	4	0.0	0
Solemya	4	0	3	3	1.0	0
Solibacillus	9	0	1	1	nan	1
Solidesulfovibrio	6	0	1	1	nan	1
Solilutibacter	4	0	1	1	nan	1
Solimonas	7	0	2	2	1.0	0
Solirubrobacter	4	1	1	1	nan	1
Solitalea	5	0	1	1	nan	1
Sphaerisporangium	14	1	1	1	nan	1
Sphaerochaeta	4	0	1	1	nan	1
Sphaerotilus	6	1	1	1	nan	1
Sphingobacterium	62	1	1	1	nan	1
Sphingobium	49	2	3	2	0.3063	0
Sphingomicrobium	11	0	1	1	nan	1
Sphingomonas	182	7	8	18	0.9849	0
Sphingopyxis	21	0	1	1	nan	1
Sphingorhabdus	8	0	1	1	nan	1
Sphingosinicella	5	0	2	2	1.0	0
Spiribacter	9	0	1	1	nan	1
Spirochaeta	4	1	4	4	nan	0
Spiroplasma	28	2	8	4	0.4154	0
Spirosoma	29	20	1	1	nan	1
Spongiibacter	6	0	1	1	nan	1
Sporolactobacillus	13	0	1	1	nan	1
Sporomusa	9	1	1	2	0.0	0
Sporosarcina	27	0	2	2	1.0	0
Stackebrandtia	4	0	1	1	nan	1
Stakelama	7	0	1	1	nan	1
Staphylococcus	70	0	1	1	nan	1
Stappia	6	0	1	2	0.0	0
Stenotrophomonas	34	4	1	2	0.0	0
Steroidobacter	4	1	1	1	nan	1
Stieleria	9	0	3	2	0.5714	0
Streptacidiphilus	13	0	1	1	nan	1
Streptantibioticus	5	0	1	4	0.0	0
Streptobacillus	5	0	1	1	nan	1
Streptococcus	141	17	2	1	0.0	0
Streptomonospora	8	1	1	1	nan	1
Streptomyces	776	55	5	6	0.0356	0
Streptosporangium	20	1	1	1	nan	1
Stutzerimonas	15	2	1	2	0.0	0
Subtercola	5	0	1	1	nan	1
Sulfitobacter	31	0	1	2	0.0	0
Sulfuriferula	4	0	1	1	nan	1
Sulfurimonas	16	2	2	2	1.0	0
Sulfurospirillum	10	0	3	3	1.0	0
Sulfurovum	6	2	1	1	nan	1
Sunxiuqinia	4	0	1	1	nan	1
Sutcliffiella	6	0	1	2	0.0	0
Sutterella	6	0	1	1	nan	1
Syntrophomonas	3	2	3	3	nan	0
Tabrizicola	8	0	1	3	0.0	0
Tahibacter	5	0	1	1	nan	1
Taibaiella	5	0	2	2	1.0	0
Tateyamaria	5	0	1	1	nan	1
Tatumella	6	0	1	1	nan	1
Tautonia	4	0	1	1	nan	1
Teichococcus	9	1	1	1	nan	1
Telluria	4	0	1	1	nan	1
Tenacibaculum	43	0	1	1	nan	1
Tepidibacillus	4	0	1	2	0.0	0
Tepidibacter	5	0	1	2	0.0	0
Tepidimonas	8	0	1	1	nan	1
Tepidiphilus	5	0	1	1	nan	1
Terasakiella	4	0	1	1	nan	1
Teredinibacter	5	0	1	1	nan	1
Terrabacter	8	1	1	1	nan	1
Terribacillus	4	0	1	1	nan	1
Terriglobus	5	0	3	1	0.0	0
Terrimonas	5	0	1	3	0.0	0
Terrisporobacter	7	0	1	1	nan	1
Tessaracoccus	15	1	3	1	0.0	0
Tetragenococcus	5	0	1	1	nan	1
Thalassobacillus	4	0	1	2	0.0	0
Thalassococcus	4	0	1	4	0.0	0
Thalassolituus	6	0	1	2	0.0	0
Thalassospira	14	0	1	1	nan	1
Thalassotalea	22	5	2	8	0.389	0
Thalassovita	7	0	1	2	0.0	0
Thauera	14	0	1	2	0.0	0
Thermoactinomyces	4	0	1	2	0.0	0
Thermoanaerobacter	8	0	1	1	nan	1
Thermoanaerobacterium	6	1	1	1	nan	1
Thermobifida	4	0	1	1	nan	1
Thermococcus	34	7	1	4	0.0	0
Thermocrinis	4	0	1	2	0.0	0
Thermodesulfobacterium	5	0	1	1	nan	1
Thermodesulfovibrio	4	2	1	1	nan	1
Thermogemmatispora	4	1	1	1	nan	1
Thermomonas	11	0	1	1	nan	1
Thermomonospora	6	0	1	1	nan	1
Thermophilibacter	4	0	1	1	nan	1
Thermosipho	7	0	1	3	0.0	0
Thermotoga	4	0	2	2	1.0	0
Thermus	27	1	1	2	0.0	0
Thioalkalivibrio	8	0	2	2	1.0	0
Thiocapsa	5	0	1	1	nan	1
Thioclava	11	0	1	1	nan	1
Thiomicrolovo	4	0	1	1	nan	1
Thiomicrorhabdus	11	1	1	1	nan	1
Thiomicrospira	4	0	1	1	nan	1
Thiomonas	4	1	1	2	0.0	0
Thiorhodococcus	4	0	1	2	0.0	0
Thiothrix	9	0	1	2	0.0	0
Thomasclavelia	4	0	1	1	nan	1
Tissierella	5	0	2	3	0.4444	0
Tomitella	4	0	1	1	nan	1
Treponema	24	1	14	6	0.216	0
Trichococcus	9	0	1	1	nan	1
Trinickia	11	1	1	2	0.0	0
Tritonibacter	6	0	1	1	nan	1
Tropicimonas	5	0	1	2	0.0	0
Trueperella	6	0	1	1	nan	1
Tsukamurella	11	2	1	1	nan	1
Tsuneonella	11	0	1	1	nan	1
Tumebacillus	7	0	1	2	0.0	0
Tunturiibacter	4	0	1	1	nan	1
Uliginosibacterium	6	1	1	2	0.0	0
Undibacterium	4	0	1	1	nan	1
Ureaplasma	7	0	5	1	0.0	0
Ureibacillus	14	1	1	1	nan	1
Vagococcus	24	0	6	6	0.9634	0
Vallitalea	5	1	2	2	1.0	0
Varibaculum	5	0	1	1	nan	1
Variovorax	38	3	1	2	0.0	0
Veillonella	22	0	1	2	0.0	0
Vibrio	171	8	2	2	1.0	0
Virgibacillus	31	4	2	15	0.0108	0
Vogesella	11	2	1	1	nan	1
Vreelandella	36	3	2	2	1.0	0
Vulcanisaeta	4	0	1	1	nan	1
Weissella	23	0	4	1	0.0	0
Wenyingzhuangia	5	1	1	1	nan	1
Wenzhouxiangella	5	0	1	1	nan	1
Williamsia	9	0	1	3	0.0	0
Winogradskyella	44	0	1	2	0.0	0
Xanthobacter	16	0	1	1	nan	1
Xanthomarina	4	0	1	1	nan	1
Xanthomonas	46	1	1	5	0.0	0
Xenorhabdus	33	3	1	1	nan	1
Xylanibacter	7	0	1	1	nan	1
Xylanimonas	5	0	1	2	0.0	0
Yersinia	26	1	1	1	nan	1
Yoonia	11	0	1	1	nan	1
Zhihengliuella	4	0	1	1	nan	1
Zhongshania	8	0	1	1	nan	1
Zobellella	6	0	1	1	nan	1
Zobellia	7	1	1	1	nan	1
Zoogloea	4	2	1	1	nan	1
Zunongwangia	5	0	1	1	nan	1
