# File S18. Genera with two or three named species, screened after the survey with the survey settings (--pident 60 --bin-aai 65, DIAMOND 2.1.8 --very-sensitive).
# 1,046 genera (993 bacterial, 53 archaeal), 2,456 genomes, one per named species; all finished. GTDB release R232.
# Scored by the survey rule (at least three GTDB-classified genomes): 309 genera; 251 agree-whole, 10 agree-divide, 42 missed, 6 flagged.
# Genera with exactly two GTDB-classified genomes (659) are compared descriptively only (bins on those two genomes vs number of GTDB genera): 604 match.
# Part A: one row per genus. gtdb_classified = genomes present in GTDB R232; bins_on_gtdb_genomes and gtdb_genera are computed on those genomes only.
part	genus	domain	genomes_screened	gtdb_classified	all_bins	bins_on_gtdb_genomes	gtdb_genera	result	ari	gtdb_labels_of_the_two
A	Deferrivibrio	Bacteria	2	1	1			not scored; fewer than two GTDB-classified genomes		
A	Defluviitalea	Bacteria	3	3	1	1	2	missed	0.0	
A	Dellaglioa	Bacteria	3	2	1	1	1	not scored; two-genome comparison (match)		Dellaglioa,Dellaglioa
A	Denitratimonas	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Denitratimonas,Denitratimonas
A	Denitrificimonas	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Denitrificimonas,Denitrificimonas
A	Denitromonas	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Dermabacter	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Derxia	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Derxia,Derxia
A	Desertihabitans	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Desertihabitans,Desertihabitans
A	Desertivirga	Bacteria	3	2	1	1	1	not scored; two-genome comparison (match)		Desertivirga,Desertivirga
A	Desmospora	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Desmospora,Desmospora
A	Desulfacinum	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Desulfacinum,Desulfacinum
A	Desulfatibacillum	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Desulfatibacillum,Desulfatibacillum
A	Desulfatiglans	Bacteria	2	1	1			not scored; fewer than two GTDB-classified genomes		
A	Desulfatitalea	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Desulfatitalea,Desulfatitalea
A	Desulfobacula	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Desulfobacula,Desulfobacula
A	Desulfobaculum	Bacteria	3	2	1	1	1	not scored; two-genome comparison (match)		Desulfobaculum,Desulfobaculum
A	Desulfocicer	Bacteria	2	1	1			not scored; fewer than two GTDB-classified genomes		
A	Desulfocurvus	Bacteria	2	1	1			not scored; fewer than two GTDB-classified genomes		
A	Desulfofustis	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Desulfofustis,Desulfofustis
A	Desulfoluna	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Desulfolutivibrio	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Desulfolutivibrio,Desulfolutivibrio
A	Desulfonatronovibrio	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Desulfonatronovibrio,Desulfonatronovibrio
A	Desulfonauticus	Bacteria	2	1	1			not scored; fewer than two GTDB-classified genomes		
A	Desulfonema	Bacteria	3	3	2	2	3	agree-divide	0.0	
A	Desulfopila	Bacteria	2	2	2	2	2	not scored; two-genome comparison (match)		Desulfopila,Desulfopila_A
A	Desulforhopalus	Bacteria	3	2	2	2	2	not scored; two-genome comparison (match)		Desulforhopalus_A,Desulforhopalus
A	Desulfoscipio	Bacteria	2	2	1	1	2	not scored; two-genome comparison (differ)		Desulfoscipio,Sporotomaculum
A	Desulfosediminicola	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Desulfopila,Desulfopila
A	Desulfosoma	Bacteria	2	1	1			not scored; fewer than two GTDB-classified genomes		
A	Desulfothermus	Bacteria	2	0	1			not scored; fewer than two GTDB-classified genomes		
A	Desulfotignum	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Desulfotignum,Desulfotignum
A	Desulfotomaculum	Bacteria	3	2	2	2	2	not scored; two-genome comparison (match)		Desulfotomaculum,Desulfotomaculum_G
A	Desulfotruncus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Desulfotruncus,Desulfotruncus
A	Desulfurella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Desulfurella,Desulfurella
A	Desulfuribacillus	Bacteria	2	2	1	1	2	not scored; two-genome comparison (differ)		Desulfuribacillus,Desulfuribacillus_A
A	Desulfurispirillum	Bacteria	2	1	1			not scored; fewer than two GTDB-classified genomes		
A	Desulfurococcus	Archaea	2	2	1	1	1	not scored; two-genome comparison (match)		Desulfurococcus,Desulfurococcus
A	Desulfuromusa	Bacteria	2	1	1			not scored; fewer than two GTDB-classified genomes		
A	Dictyoglomus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Dictyoglomus,Dictyoglomus
A	Diplocloster	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Ditibartonella	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Dolosigranulum	Bacteria	2	1	1			not scored; fewer than two GTDB-classified genomes		
A	Donghicola	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Dubosiella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Dubosiella,Dubosiella
A	Dysosmobacter	Bacteria	3	2	2	2	1	not scored; two-genome comparison (differ)		Oscillibacter,Oscillibacter
A	Edaphocola	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Edaphocola,Edaphocola
A	Edaphosphingomonas	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Sphingomonas_E,Sphingomonas_E
A	Eisenbergiella	Bacteria	3	2	1	1	1	not scored; two-genome comparison (match)		Eisenbergiella,Eisenbergiella
A	Ekhidna	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Ekhidna,Ekhidna
A	Elioraea	Bacteria	3	3	1	1	2	missed	0.0	
A	Elstera	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Elstera,Elstera
A	Elusimicrobium	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Embleya	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Endobacterium	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Neorhizobium,Neorhizobium
A	Enemella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Enemella,Enemella
A	Enteractinococcus	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Enterovirga	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Enterovirga,Enterovirga
A	Entomomonas	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Entomomonas,Entomomonas
A	Entomoplasma	Bacteria	2	2	2	2	2	not scored; two-genome comparison (match)		Entomoplasma,Williamsoniiplasma
A	Entomospira	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Eudoraea	Bacteria	3	3	1	1	2	missed	0.0	
A	Euzebya	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Euzebyella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Euzebyella,Euzebyella
A	Ewingella	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Extensimonas	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Ezakiella	Bacteria	3	2	2	2	1	not scored; two-genome comparison (differ)		Ezakiella,Ezakiella
A	Faecalibacillus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Faecalibacillus,Faecalibacillus
A	Faecalibacter	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Faecalicoccus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Faecalicoccus,Faecalicoccus
A	Faecalimonas	Bacteria	3	1	1			not scored; fewer than two GTDB-classified genomes		
A	Faecalispora	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Falsibacillus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Falsibacillus,Falsibacillus
A	Falsigemmobacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Wagnerdoeblera,Wagnerdoeblera
A	Falsiruegeria	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Falsiruegeria,Falsiruegeria
A	Falsochrobactrum	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Faucicola	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Fenollaria	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Ferrigenium	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Gallionella,Gallionella
A	Ferroplasma	Archaea	2	2	1	1	1	not scored; two-genome comparison (match)		Ferroplasma,Ferroplasma
A	Ferrovibrio	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Fervidibacillus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Fervidibacillus,Fervidibacillus
A	Fibrisoma	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Fibrisoma,Fibrisoma
A	Fibrobacter	Bacteria	2	2	2	2	2	not scored; two-genome comparison (match)		Hallerella,Fibrobacter
A	Filifactor	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Filifactor,Filifactor
A	Filimonas	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Finegoldia	Bacteria	2	1	1			not scored; fewer than two GTDB-classified genomes		
A	Fischerella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Fischerella,Fischerella
A	Flaviaestuariibacter	Bacteria	3	2	1	1	1	not scored; two-genome comparison (match)		Flavisolibacter,Flavisolibacter
A	Flavicella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Flavicella,Flavicella
A	Flavimobilis	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Flaviramulus	Bacteria	3	3	1	1	3	missed	0.0	
A	Flavitalea	Bacteria	3	1	2			not scored; fewer than two GTDB-classified genomes		
A	Flavonifractor	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Floricoccus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Floricoccus,Floricoccus
A	Fluctibacter	Bacteria	2	2	1	1	2	not scored; two-genome comparison (differ)		Fluctibacter_A,Fluctibacter
A	Fluoribacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Legionella,Legionella
A	Fluviicola	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Fluviicola,Fluviicola
A	Fluviispira	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Fodinicola	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Fodinicola,Fodinicola
A	Fodinicurvata	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Fontibacillus	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Franconibacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Franconibacter,Franconibacter
A	Franzmannia	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Franzmannia,Franzmannia
A	Frigidibacter	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Frigoribacterium	Bacteria	3	2	1	1	1	not scored; two-genome comparison (match)		Frigoribacterium,Frigoribacterium
A	Frischella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Frischella,Frischella
A	Fulverythrobacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Andeanibacterium,Andeanibacterium
A	Fulvimonas	Bacteria	2	2	1	1	2	not scored; two-genome comparison (differ)		Fulvimonas,Frateuria_A
A	Fundicoccus	Bacteria	2	2	2	2	2	not scored; two-genome comparison (match)		Fundicoccus_A,Fundicoccus
A	Fusicatenibacter	Bacteria	2	2	2	2	2	not scored; two-genome comparison (match)		Limivivens,Fusicatenibacter
A	Gabonibacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Gabonibacter,Gabonibacter
A	Galactobacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Galactobacter,Galactobacter
A	Gaoshiqia	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Gaoshiqia,Gaoshiqia
A	Gelidimonas	Bacteria	2	0	1			not scored; fewer than two GTDB-classified genomes		
A	Gemelliphila	Bacteria	2	1	1			not scored; fewer than two GTDB-classified genomes		
A	Geminicoccus	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Gemmatimonas	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Gemmiger	Bacteria	3	2	1	1	1	not scored; two-genome comparison (match)		Gemmiger,Gemmiger
A	Geoalkalibacter	Bacteria	3	3	1	1	2	missed	0.0	
A	Geofilum	Bacteria	2	1	1			not scored; fewer than two GTDB-classified genomes		
A	Geoglobus	Archaea	2	2	1	1	1	not scored; two-genome comparison (match)		Geoglobus,Geoglobus
A	Geomicrobium	Bacteria	2	2	1	1	2	not scored; two-genome comparison (differ)		Geomicrobium,Geomicrobium_A
A	Geopseudomonas	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Geosporobacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Geosporobacter,Geosporobacter
A	Geotalea	Bacteria	3	2	1	1	1	not scored; two-genome comparison (match)		Geotalea,Geotalea
A	Geothermobacter	Bacteria	2	1	1			not scored; fewer than two GTDB-classified genomes		
A	Geovibrio	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Geovibrio,Geovibrio
A	Gibbsiella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Gibbsiella,Gibbsiella
A	Giesbergeria	Bacteria	3	2	1	1	1	not scored; two-genome comparison (match)		Simplicispira,Simplicispira
A	Gillisella	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Glaciecola	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Glacieibacterium	Bacteria	3	3	1	1	3	missed	0.0	
A	Glaciibacter	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Glaciihabitans	Bacteria	2	2	1	1	2	not scored; two-genome comparison (differ)		Conyzicola,Glaciihabitans
A	Glaciimonas	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Glaciimonas,Glaciimonas
A	Glaesserella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Glaesserella,Glaesserella
A	Gleimia	Bacteria	3	3	2	2	1	flagged	0.0	
A	Globicatella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Globicatella,Globicatella
A	Gloeobacter	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Gloeocapsopsis	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Gloeocapsopsis,Gloeocapsopsis
A	Gloeothece	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Gloeothece,Gloeothece
A	Glycocaulis	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Gordonibacter	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Gorillibacterium	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Gottschalkia	Bacteria	2	2	1	1	2	not scored; two-genome comparison (differ)		Gottschalkia,Gottschalkia_A
A	Gudongella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Gudongella,Gudongella
A	Guyparkeria	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Haematobacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Haematobacter,Haematobacter
A	Hafnia	Bacteria	3	3	1	1	2	missed	0.0	
A	Hahella	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Halalkalibacillus	Bacteria	2	2	1	1	2	not scored; two-genome comparison (differ)		Halalkalibacillus,Halalkalibacillus_A
A	Halalkalibacterium	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Halalkalibacterium,Halalkalibacterium
A	Halapricum	Archaea	3	3	1	1	1	agree-whole	nan	
A	Halegenticoccus	Archaea	2	2	1	1	1	not scored; two-genome comparison (match)		Halegenticoccus,Halegenticoccus
A	Haliea	Bacteria	3	2	1	1	1	not scored; two-genome comparison (match)		Haliea,Haliea
A	Halioglobus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Halioglobus,Halioglobus
A	Hallerella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Hallerella,Hallerella
A	Halobacteriovorax	Bacteria	2	2	2	2	2	not scored; two-genome comparison (match)		Halobacteriovorax,Halobacteriovorax_A
A	Halochromatium	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Halocynthiibacter	Bacteria	3	3	1	1	2	missed	0.0	
A	Halohasta	Archaea	3	3	1	1	1	agree-whole	nan	
A	Halolactibacillus	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Halomicrococcus	Archaea	2	1	1			not scored; fewer than two GTDB-classified genomes		
A	Halonovum	Archaea	2	2	1	1	1	not scored; two-genome comparison (match)		JAHENP01,JAHENP01
A	Haloparvum	Archaea	2	1	1			not scored; fewer than two GTDB-classified genomes		
A	Halopelagius	Archaea	3	2	1	1	1	not scored; two-genome comparison (match)		Halopelagius,Halopelagius
A	Halopenitus	Archaea	3	2	1	1	1	not scored; two-genome comparison (match)		Halopenitus,Halopenitus
A	Halorarius	Archaea	2	2	1	1	1	not scored; two-genome comparison (match)		Halorarius,Halorarius
A	Halorarum	Archaea	3	3	1	1	1	agree-whole	nan	
A	Halorubellus	Archaea	3	2	1	1	1	not scored; two-genome comparison (match)		Halorubellus,Halorubellus
A	Halosegnis	Archaea	3	3	1	1	1	agree-whole	nan	
A	Halosolutus	Archaea	3	3	1	1	1	agree-whole	nan	
A	Halosquirtibacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Halosquirtibacter,Halosquirtibacter
A	Halothiobacillus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Halothiobacillus,Halothiobacillus
A	Halovibrio	Bacteria	2	2	2	2	2	not scored; two-genome comparison (match)		Halospina,Vreelandella
A	Halovulum	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Halovulum,Halovulum
A	Halpernia	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Halpernia,Halpernia
A	Hamadaea	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Hamadaea,Hamadaea
A	Haploplasma	Bacteria	2	2	2	2	1	not scored; two-genome comparison (differ)		Haploplasma,Haploplasma
A	Heliobacterium	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Heliobacterium,Heliobacterium
A	Heliorestis	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Heliorestis,Heliorestis
A	Hephaestia	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Sphingomonas,Sphingomonas
A	Herbinix	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Mobilitalea,Mobilitalea
A	Hippea	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Hirschia	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Histidinibacterium	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Oceanicola,Oceanicola
A	Holdemanella	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Holdemania	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Holdemania,Holdemania
A	Holzapfeliella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Holzapfeliella,Holzapfeliella
A	Hominimerdicola	Bacteria	3	2	2	2	1	not scored; two-genome comparison (differ)		Hominimerdicola,Hominimerdicola
A	Hominisplanchenecus	Bacteria	2	2	1	1	2	not scored; two-genome comparison (differ)		Hominisplanchenecus,Hominisplanchenecus_A
A	Hominiventricola	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Hominiventricola,Hominiventricola
A	Homoserinibacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Homoserinibacter,Homoserinibacter
A	Hornefia	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Aminicella,Aminicella
A	Hoskinsella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Hoskinsella,Hoskinsella
A	Hufsiella	Bacteria	2	2	1	1	2	not scored; two-genome comparison (differ)		Hufsiella_A,Hufsiella
A	Humidesulfovibrio	Bacteria	2	1	1			not scored; fewer than two GTDB-classified genomes		
A	Hungatella	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Hwangdonia	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Hwangdonia,Hwangdonia
A	Hydrocarboniphaga	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Hydrocarboniphaga,Hydrocarboniphaga
A	Hydrocurvibacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Hydrocurvibacter,Hydrocurvibacter
A	Hydrogenivirga	Bacteria	2	1	1			not scored; fewer than two GTDB-classified genomes		
A	Hydrogenobacter	Bacteria	3	2	1	1	1	not scored; two-genome comparison (match)		Hydrogenobacter,Hydrogenobacter
A	Hydrotalea	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Hypericibacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Hypericibacter,Hypericibacter
A	Ignicoccus	Archaea	2	2	2	2	1	not scored; two-genome comparison (differ)		Ignicoccus,Ignicoccus
A	Ilumatobacter	Bacteria	3	3	2	2	2	agree-divide	1.0	
A	Inconstantimicrobium	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Inconstantimicrobium,Inconstantimicrobium
A	Indolivaga	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Infirmifilum	Archaea	2	2	1	1	1	not scored; two-genome comparison (match)		Thermofilum,Thermofilum
A	Inquilinus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Inquilinus,Inquilinus
A	Intestinimonas	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Intestinimonas,Intestinimonas
A	Iodidimonas	Bacteria	3	2	1	1	1	not scored; two-genome comparison (match)		Iodidimonas,Iodidimonas
A	Isoalcanivorax	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Izhakiella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Izhakiella,Izhakiella
A	Jejuia	Bacteria	2	2	1	1	2	not scored; two-genome comparison (differ)		Jejuia,Wocania_A
A	Jonesia	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Jonesia,Jonesia
A	Jutongia	Bacteria	2	2	1	1	2	not scored; two-genome comparison (differ)		Butyribacter,Jutongia
A	Kallipyga	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Kallipyga,Kallipyga
A	Kamptonema	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Kamptonema,Kamptonema
A	Kerstersia	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Kerstersia,Kerstersia
A	Ketobacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Ketobacter,Ketobacter
A	Ketogulonicigenium	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Ketogulonicigenium,Ketogulonicigenium
A	Kineobactrum	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Kineobactrum,Kineobactrum
A	Kineothrix	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Kineothrix,Kineothrix
A	Kistimonas	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Kistimonas,Kistimonas
A	Koromonas	Bacteria	2	0	1			not scored; fewer than two GTDB-classified genomes		
A	Kosmotoga	Bacteria	3	3	1	1	2	missed	0.0	
A	Ktedonobacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Ktedonobacter,Ktedonobacter
A	Kyrpidia	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Kyrpidia,Kyrpidia
A	Kytococcus	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Lachnoclostridium	Bacteria	2	2	2	2	2	not scored; two-genome comparison (match)		Lachnoclostridium_A,Lachnoclostridium
A	Lacicoccus	Bacteria	3	2	1	1	1	not scored; two-genome comparison (match)		Lacicoccus,Lacicoccus
A	Lacihabitans	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Leadbetterella,Leadbetterella
A	Lacipirellula	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Lacipirellula,Lacipirellula
A	Lacisediminihabitans	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Lacisediminihabitans,Lacisediminihabitans
A	Lactovum	Bacteria	2	1	1			not scored; fewer than two GTDB-classified genomes		
A	Laedolimicola	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Laedolimicola,Laedolimicola
A	Lancefieldella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Lancefieldella,Lancefieldella
A	Larsenimonas	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Laspinema	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Laspinema,Laspinema
A	Lautropia	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Lautropia,Lautropia
A	Lawsonibacter	Bacteria	3	3	1	1	3	missed	0.0	
A	Leeia	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Leminorella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Leminorella,Leminorella
A	Lentihominibacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Lentihominibacter,Lentihominibacter
A	Lentisalinibacter	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Lentisphaera	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Leptobacterium	Bacteria	2	2	1	1	2	not scored; two-genome comparison (differ)		Leptobacterium,Leptobacterium_A
A	Leptospirillum	Bacteria	2	2	2	2	2	not scored; two-genome comparison (match)		Leptospirillum_A,Leptospirillum
A	Leptothoe	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Leptothoe,Leptothoe
A	Leptothrix	Bacteria	3	2	1	1	1	not scored; two-genome comparison (match)		Sphaerotilus,Sphaerotilus
A	Leucothrix	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Leyella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Prevotella,Prevotella
A	Lichenibacterium	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Limnospira	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Lipingzhangella	Bacteria	2	2	1	1	2	not scored; two-genome comparison (differ)		Lipingzhangella,Lipingzhangella_A
A	Litoribacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Litoribacter,Litoribacter
A	Litoribrevibacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Litoribrevibacter,Litoribrevibacter
A	Litorilituus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Colwellia,Colwellia
A	Litorimonas	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Lolliginicoccus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Lolliginicoccus,Lolliginicoccus
A	Longimonas	Bacteria	2	1	1			not scored; fewer than two GTDB-classified genomes		
A	Longitalea	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Niastella,Niastella
A	Luedemannella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Luedemannella,Luedemannella
A	Lujinxingia	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Lunatimonas	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Lunatimonas,Lunatimonas
A	Luteimicrobium	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Luteipulveratus	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Lutispora	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Lutispora,Lutispora
A	Lyngbya	Bacteria	2	2	2	2	2	not scored; two-genome comparison (match)		Capilliphycus,Lyngbya
A	Macromonas	Bacteria	2	2	1	1	2	not scored; two-genome comparison (differ)		Macromonas_A,Macromonas_B
A	Magnetococcus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Magnetococcus,Magnetococcus
A	Magnetovibrio	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Magnetovibrio,Magnetovibrio
