# File S18. Genera with two or three named species, screened after the survey with the survey settings (--pident 60 --bin-aai 65, DIAMOND 2.1.8 --very-sensitive).
# 1,046 genera (993 bacterial, 53 archaeal), 2,456 genomes, one per named species; all finished. GTDB release R232.
# Scored by the survey rule (at least three GTDB-classified genomes): 309 genera; 251 agree-whole, 10 agree-divide, 42 missed, 6 flagged.
# Genera with exactly two GTDB-classified genomes (659) are compared descriptively only (bins on those two genomes vs number of GTDB genera): 604 match.
# Part A: one row per genus. gtdb_classified = genomes present in GTDB R232; bins_on_gtdb_genomes and gtdb_genera are computed on those genomes only.
part	genus	domain	genomes_screened	gtdb_classified	all_bins	bins_on_gtdb_genomes	gtdb_genera	result	ari	gtdb_labels_of_the_two
A	Alteripontixanthobacter	Bacteria	2	2	1	1	2	not scored; two-genome comparison (differ)		Alteripontixanthobacter,Pseudopontixanthobacter
A	Alteriqipengyuania	Bacteria	3	2	1	1	1	not scored; two-genome comparison (match)		Alteriqipengyuania,Alteriqipengyuania
A	Alterirhizorhabdus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Alterirhizorhabdus,Alterirhizorhabdus
A	Alysiella	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Simonsiella,Simonsiella
A	Amaricoccus	Bacteria	3	3	2	2	1	flagged	0.0	
A	Aminipila	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Aminobacterium	Bacteria	3	2	1	1	1	not scored; two-genome comparison (match)		Aminobacterium,Aminobacterium
A	Ammonicoccus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Enemella,Enemella
A	Ammonifex	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Ammonifex,Ammonifex
A	Ammoniphilus	Bacteria	3	2	2	2	2	not scored; two-genome comparison (match)		Ammoniphilus_A,Ammoniphilus
A	Amorphus	Bacteria	3	2	1	1	1	not scored; two-genome comparison (match)		Amorphus,Amorphus
A	Amygdalobacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Amygdalobacter,Amygdalobacter
A	Amylolactobacillus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Amylolactobacillus,Amylolactobacillus
A	Anabaenopsis	Bacteria	3	3	1	1	1	agree-whole	nan	
A	Anaerobiospirillum	Bacteria	2	2	2	2	2	not scored; two-genome comparison (match)		Anaerobiospirillum,Anaerobiospirillum_A
A	Anaerobranca	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Anaerobranca,Anaerobranca
A	Anaerobutyricum	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Anaerobutyricum,Anaerobutyricum
A	Anaerocellum	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Caldicellulosiruptor,Caldicellulosiruptor
A	Anaerofustis	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Anaerofustis,Anaerofustis
A	Anaerolinea	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Anaerolinea,Anaerolinea
A	Anaeromicropila	Bacteria	2	2	2	2	2	not scored; two-genome comparison (match)		Anaeromicropila,Anaeromicropila_A
A	Anaeromonas	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Anaeromonas,Anaeromonas
A	Anaerosacchariphilus	Bacteria	2	2	2	2	2	not scored; two-genome comparison (match)		Laedolimicola,Anaerosacchariphilus
A	Anaerosalibacter	Bacteria	2	1	1			not scored; fewer than two GTDB-classified genomes		
A	Anaerosinus	Bacteria	2	2	1	1	2	not scored; two-genome comparison (differ)		Selenobaculum,Massilibacillus
A	Anaerosphaera	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Anaerosphaera,Anaerosphaera
A	Anaerosporobacter	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Anaerosporobacter,Anaerosporobacter
A	Anaerotruncus	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Anaerotruncus,Anaerotruncus
A	Anaerovibrio	Bacteria	2	2	1	1	1	not scored; two-genome comparison (match)		Anaerovibrio,Anaerovibrio
A	Anatilimnocola	Bacteria	3	3	1	1	1	agree-whole	nan	
